date,account,time,vendor,price
2018-02-19,Dining Cash,16:40:00,Guthridge Hall Washer A4,-1.75
2018-02-19,Dining Cash,17:14:00,Guthridge Hall Dryer B4,-1.75
2018-02-19,Dining Cash,19:40:00,Whole Foods,-8.91
2018-02-20,Dining Cash,12:52:00,Whole Foods,-7.05
2018-02-20,Dining Cash,18:01:00,&Pizza,-10.5
2018-02-21,Dining Cash,12:42:00,Sol Mexican,-9.63
2018-02-21,Dining Cash,17:52:00,Sodexo GW Hospital,-4.68
2018-02-21,Dining Cash,18:12:00,Chick-fil-A DH,-2.48
2018-02-21,Dining Cash,19:44:00,Wiseguy Pizza,-8.78
2018-02-22,Dining Cash,12:37:00,Whole Foods,-7.33
2018-02-22,Dining Cash,19:31:00,Chick-fil-A DH,-8.39
2018-02-23,Dining Cash,13:23:00,Whole Foods,-8.8
2018-02-23,Dining Cash,01:13:00,Gallery Market,-4.18
2018-02-23,Dining Cash,22:19:00,Gallery Market,-4.49
2018-02-25,Dining Cash,13:01:00,Whole Foods,-10.58
2018-02-25,Dining Cash,18:38:00,Sol Mexican,-9.63
2018-02-26,Dining Cash,12:03:00,Wiseguy Pizza,-8.78
2018-02-26,Dining Cash,17:35:00,Sweet Green,-10.62
2018-02-26,Dining Cash,20:37:00,Chick-fil-A DH,-6.86
2018-02-27,Dining Cash,13:01:00,GRK Fresh DH,-8.53
2018-02-27,Dining Cash,19:11:00,Penn Grill & Cafe,-12.03
2018-02-27,Dining Cash,23:21:00,Guthridge Hall Washer A3,-1.75
2018-02-27,Dining Cash,23:58:00,Guthridge Hall Dryer B4,-1.75
2018-02-28,Dining Cash,18:50:00,Whole Foods,-8.8
2018-02-28,Dining Cash,12:19:00,Sol Mexican,-9.63
2018-03-01,Dining Cash,12:25:00,Whole Foods,-12.39
2018-03-01,Dining Cash,18:02:00,&Pizza,-10.5
2018-03-02,Dining Cash,11:59:00,Chick-fil-A DH,-8.39
2018-03-03,Dining Cash,13:11:00,Whole Foods,-14.06
2018-03-03,Dining Cash,19:17:00,Wiseguy Pizza,-8.4
2018-03-04,Dining Cash,11:45:00,CVS #02847,-5.28
2018-03-04,Dining Cash,13:33:00,Au Bon Pain GW,-10.43
2018-03-04,Dining Cash,20:55:00,Whole Foods,-13.29
2018-03-05,Dining Cash,16:50:00,Sol Mexican,-9.63
2018-03-05,Dining Cash,19:14:00,Chick-fil-A DH,-6.75
2018-03-05,Dining Cash,10:26:00,GW DELI,-5.71
2018-03-05,Dining Cash,11:05:00,WEPA SEH LL1,-0.32
2018-03-06,Dining Cash,12:37:00,Panera Bread,-9.88
2018-03-06,Dining Cash,19:23:00,Whole Foods,-8.8
2018-03-07,Dining Cash,15:08:00,Chick-fil-A DH,-8.39
2018-03-07,Dining Cash,19:20:00,Whole Foods,-13.66
2018-03-07,Dining Cash,22:53:00,TGI Fridays #1757 GW,-7.0
2018-03-08,Dining Cash,12:36:00,Guthridge Hall Washer A1,-1.75
2018-03-08,Dining Cash,13:22:00,Guthridge Hall Dryer B5,-1.75
2018-03-08,Dining Cash,21:01:00,Magic Gourd Restaurant,-30.8
2018-03-08,Dining Cash,21:32:00,Magic Gourd Restaurant,-2.0
2018-03-19,Dining Cash,14:04:00,Sodexo GW Hospital,-3.03
2018-03-19,Dining Cash,22:33:00,Whole Foods,-7.43
2018-03-20,Dining Cash,17:10:00,Chick-fil-A DH,-6.86
2018-03-21,Dining Cash,12:06:00,Sodexo GW Hospital,-5.11
2018-03-22,Dining Cash,12:39:00,Sol Mexican,-9.63
2018-03-22,Dining Cash,18:24:00,Wiseguy Pizza,-6.58
2018-03-22,Dining Cash,21:15:00,Gallery Market,-2.1
2018-03-23,Dining Cash,11:46:00,Chick-fil-A DH,-7.19
2018-03-23,Dining Cash,15:06:00,Guthridge Hall Washer A3,-1.75
2018-03-23,Dining Cash,16:09:00,Guthridge Hall Dryer B4,-1.75
2018-03-23,Dining Cash,19:48:00,Whole Foods,-7.43
2018-03-24,Dining Cash,20:32:00,Wiseguy Pizza,-4.39
2018-03-24,Dining Cash,21:47:00,Whole Foods,-4.39
