,Account,Date,Time,Vendor,Price
111,Dining Cash,2018-02-08,18:22:00,&Pizza,10.5
112,Dining Cash,2018-02-08,16:43:00,WEPA District House LL1,0.08
113,Dining Cash,2018-02-08,12:34:00,Whole Foods,2.99
114,Dining Cash,2018-02-08,12:27:00,Whole Foods,8.8
115,Dining Cash,2018-02-07,18:39:00,Panera Bread,9.88
116,Dining Cash,2018-02-07,14:24:00,Chick-fil-A DH,6.86
117,Dining Cash,2018-02-06,19:14:00,Wiseguy Pizza,8.78
118,Dining Cash,2018-02-06,13:27:00,Sodexo GW Hospital,8.88
119,Dining Cash,2018-02-06,11:21:00,Guthridge Hall Dryer B4,1.75
120,Dining Cash,2018-02-06,11:20:00,Guthridge Hall Dryer B2,1.75
121,Dining Cash,2018-02-06,10:45:00,Guthridge Hall Washer A5,1.75
122,Dining Cash,2018-02-06,10:44:00,Guthridge Hall Washer A4,1.75
123,Dining Cash,2018-02-05,18:07:00,PeetsCoffee DH,2.37
124,Dining Cash,2018-02-05,11:53:00,Sol Mexican,9.63
125,Dining Cash,2018-02-04,18:36:00,&Pizza,10.5
126,Dining Cash,2018-02-04,13:53:00,Whole Foods,12.2
127,Dining Cash,2018-02-03,19:59:00,Wiseguy Pizza,4.39
128,Dining Cash,2018-02-03,12:49:00,Whole Foods,13.3
129,Dining Cash,2018-02-02,13:07:00,Panera Bread,6.92
130,Dining Cash,2018-02-01,18:19:00,Wiseguy Pizza,8.78
131,Dining Cash,2018-02-01,13:28:00,Starbucks #8759,4.13
132,Dining Cash,2018-02-01,13:12:00,Sol Mexican,9.63
133,Dining Cash,2018-01-31,17:20:00,Whole Foods,6.43
134,Dining Cash,2018-01-31,12:05:00,Whole Foods,2.29
135,Dining Cash,2018-01-31,11:59:00,Whole Foods,8.8
136,Dining Cash,2018-01-30,18:18:00,GRK Fresh DH,8.53
137,Dining Cash,2018-01-30,13:00:00,Wiseguy Pizza,8.78
138,Dining Cash,2018-01-29,22:47:00,CVS #02847,7.93
139,Dining Cash,2018-01-29,17:19:00,Sol Mexican,9.63
140,Dining Cash,2018-01-29,14:08:00,Sodexo GW Hospital,3.84
141,Dining Cash,2018-01-29,11:12:00,Guthridge Hall Dryer B6,1.75
142,Dining Cash,2018-01-29,10:42:00,Guthridge Hall Washer A3,1.75
143,Dining Cash,2018-01-28,19:50:00,Burger Tap and Shake,9.35
144,Dining Cash,2018-01-28,13:19:00,Sol Mexican,12.16
145,Dining Cash,2018-01-27,21:46:00,CVS #01358,4.31
