,Account,Date,Time,Vendor,Price
59,Dining Cash,2018-02-27,23:58:00,Guthridge Hall Dryer B4,1.75
60,Dining Cash,2018-02-27,23:21:00,Guthridge Hall Washer A3,1.75
61,Dining Cash,2018-02-27,19:11:00,Penn Grill & Cafe,12.03
62,Dining Cash,2018-02-27,13:01:00,GRK Fresh DH,8.53
63,Dining Cash,2018-02-26,20:37:00,Chick-fil-A DH,6.86
64,Dining Cash,2018-02-26,17:35:00,Sweet Green,10.62
65,Dining Cash,2018-02-26,12:03:00,Wiseguy Pizza,8.78
66,Dining Cash,2018-02-25,18:38:00,Sol Mexican,9.63
67,Dining Cash,2018-02-25,13:01:00,Whole Foods,10.58
68,Dining Cash,2018-02-23,22:19:00,Gallery Market,4.49
69,Dining Cash,2018-02-23,13:23:00,Whole Foods,8.8
70,Dining Cash,2018-02-23,01:13:00,Gallery Market,4.18
71,Dining Cash,2018-02-22,19:31:00,Chick-fil-A DH,8.39
72,Dining Cash,2018-02-22,12:37:00,Whole Foods,7.33
73,Dining Cash,2018-02-21,19:44:00,Wiseguy Pizza,8.78
74,Dining Cash,2018-02-21,18:12:00,Chick-fil-A DH,2.48
75,Dining Cash,2018-02-21,17:52:00,Sodexo GW Hospital,4.68
76,Dining Cash,2018-02-21,12:42:00,Sol Mexican,9.63
77,Dining Cash,2018-02-20,18:01:00,&Pizza,10.5
78,Dining Cash,2018-02-20,12:52:00,Whole Foods,7.05
79,Dining Cash,2018-02-19,19:40:00,Whole Foods,8.91
80,Dining Cash,2018-02-19,17:14:00,Guthridge Hall Dryer B4,1.75
81,Dining Cash,2018-02-19,16:40:00,Guthridge Hall Washer A4,1.75
82,Dining Cash,2018-02-16,16:16:00,Wiseguy Pizza,3.29
83,Dining Cash,2018-02-16,13:07:00,Penn Grill & Cafe,14.89
84,Dining Cash,2018-02-15,23:37:00,Gallery Market,6.99
85,Dining Cash,2018-02-15,20:14:00,&Pizza,10.5
86,Dining Cash,2018-02-15,18:25:00,Gallery Market,1.69
87,Dining Cash,2018-02-15,12:07:00,Sol Mexican,9.63
88,Dining Cash,2018-02-14,18:50:00,Gallery Market,7.86
89,Dining Cash,2018-02-14,12:03:00,Roti Mediterranean Grill,10.13
90,Dining Cash,2018-02-13,18:53:00,Chick-fil-A DH,9.27
91,Dining Cash,2018-02-13,12:49:00,Whole Foods,13.88
92,Dining Cash,2018-02-12,23:00:00,Gallery Market,4.68
93,Dining Cash,2018-02-12,17:22:00,Wiseguy Pizza,8.78
94,Dining Cash,2018-02-12,12:00:00,Whole Foods,2.99
95,Dining Cash,2018-02-12,11:52:00,Whole Foods,8.8
96,Dining Cash,2018-02-11,22:20:00,Guthridge Hall Dryer B6,1.75
97,Dining Cash,2018-02-11,22:19:00,Guthridge Hall Dryer B4,1.75
98,Dining Cash,2018-02-11,21:44:00,Guthridge Hall Washer A5,1.75
99,Dining Cash,2018-02-11,21:44:00,Guthridge Hall Washer A6,1.75
100,Dining Cash,2018-02-11,18:45:00,Panera Bread,9.88
101,Dining Cash,2018-02-11,12:13:00,Sol Mexican,14.19
102,Dining Cash,2018-02-10,13:01:00,Chick-fil-A DH,8.69
103,Dining Cash,2018-02-09,20:05:00,Panera Bread,11.2
104,Dining Cash,2018-02-09,14:08:00,Chick-fil-A DH,8.94
105,Dining Cash,2018-02-09,12:37:00,WEPA SEH 2nd FLR,1.28
106,Dining Cash,2018-02-08,18:22:00,&Pizza,10.5
107,Dining Cash,2018-02-08,16:43:00,WEPA District House LL1,0.08
108,Dining Cash,2018-02-08,12:34:00,Whole Foods,2.99
109,Dining Cash,2018-02-08,12:27:00,Whole Foods,8.8
110,Dining Cash,2018-02-07,18:39:00,Panera Bread,9.88
111,Dining Cash,2018-02-07,14:24:00,Chick-fil-A DH,6.86
112,Dining Cash,2018-02-06,19:14:00,Wiseguy Pizza,8.78
113,Dining Cash,2018-02-06,13:27:00,Sodexo GW Hospital,8.88
114,Dining Cash,2018-02-06,11:21:00,Guthridge Hall Dryer B4,1.75
115,Dining Cash,2018-02-06,11:20:00,Guthridge Hall Dryer B2,1.75
116,Dining Cash,2018-02-06,10:45:00,Guthridge Hall Washer A5,1.75
117,Dining Cash,2018-02-06,10:44:00,Guthridge Hall Washer A4,1.75
118,Dining Cash,2018-02-05,18:07:00,PeetsCoffee DH,2.37
119,Dining Cash,2018-02-05,11:53:00,Sol Mexican,9.63
120,Dining Cash,2018-02-04,18:36:00,&Pizza,10.5
121,Dining Cash,2018-02-04,13:53:00,Whole Foods,12.2
122,Dining Cash,2018-02-03,19:59:00,Wiseguy Pizza,4.39
123,Dining Cash,2018-02-03,12:49:00,Whole Foods,13.3
124,Dining Cash,2018-02-02,13:07:00,Panera Bread,6.92
125,Dining Cash,2018-02-01,18:19:00,Wiseguy Pizza,8.78
126,Dining Cash,2018-02-01,13:28:00,Starbucks #8759,4.13
127,Dining Cash,2018-02-01,13:12:00,Sol Mexican,9.63
128,Dining Cash,2018-01-31,17:20:00,Whole Foods,6.43
129,Dining Cash,2018-01-31,12:05:00,Whole Foods,2.29
130,Dining Cash,2018-01-31,11:59:00,Whole Foods,8.8
131,Dining Cash,2018-01-30,18:18:00,GRK Fresh DH,8.53
132,Dining Cash,2018-01-30,13:00:00,Wiseguy Pizza,8.78
133,Dining Cash,2018-01-29,22:47:00,CVS #02847,7.93
134,Dining Cash,2018-01-29,17:19:00,Sol Mexican,9.63
135,Dining Cash,2018-01-29,14:08:00,Sodexo GW Hospital,3.84
136,Dining Cash,2018-01-29,11:12:00,Guthridge Hall Dryer B6,1.75
137,Dining Cash,2018-01-29,10:42:00,Guthridge Hall Washer A3,1.75
138,Dining Cash,2018-01-28,19:50:00,Burger Tap and Shake,9.35
139,Dining Cash,2018-01-28,13:19:00,Sol Mexican,12.16
140,Dining Cash,2018-01-27,21:46:00,CVS #01358,4.31
141,Dining Cash,2018-01-27,17:18:00,Chick-fil-A DH,8.39
142,Dining Cash,2018-01-26,18:00:00,TGI Fridays #1757 GW,6.25
143,Dining Cash,2018-01-26,12:34:00,Wiseguy Pizza,8.78
144,Dining Cash,2018-01-25,21:32:00,CVS #01358,1.36
145,Dining Cash,2018-01-25,21:01:00,&Pizza,10.5
146,Dining Cash,2018-01-25,13:11:00,Sol Mexican,9.63
147,Dining Cash,2018-01-24,14:19:00,Roti Mediterranean Grill,9.08
148,Dining Cash,2018-01-24,12:26:00,WEPA SEH Gnd FLR,0.24
149,Dining Cash,2018-01-24,12:06:00,WEPA SEH 2nd FLR,0.16
150,Dining Cash,2018-01-23,18:21:00,Chick-fil-A DH,8.39
151,Dining Cash,2018-01-23,12:11:00,Sol Mexican,9.63
152,Dining Cash,2018-01-22,12:01:00,Roti Mediterranean Grill,9.08
153,Dining Cash,2018-01-21,22:52:00,Guthridge Hall Dryer B7,1.75
154,Dining Cash,2018-01-21,22:19:00,Guthridge Hall Washer A2,1.75
155,Dining Cash,2018-01-21,20:00:00,&Pizza,10.5
156,Dining Cash,2018-01-21,14:36:00,WEPA Glmn 1FLe,0.4
157,Dining Cash,2018-01-21,13:12:00,Whole Foods,11.69
158,Dining Cash,2018-01-20,19:12:00,GRK Fresh DH,9.3
159,Dining Cash,2018-01-20,12:22:00,Potbelly Sandwich Works - GW,8.86
160,Dining Cash,2018-01-19,18:22:00,Panera Bread,10.21
161,Dining Cash,2018-01-19,12:58:00,&Pizza,10.5
162,Dining Cash,2018-01-19,00:52:00,Surf Side Taco Stand,4.35
163,Dining Cash,2018-01-18,18:50:00,Chipotle 2000 Pen,8.47
164,Dining Cash,2018-01-18,12:51:00,Gallery Market,40.93
165,Dining Cash,2018-01-17,19:29:00,Chick-fil-A DH,5.38
166,Dining Cash,2018-01-17,12:18:00,Sol Mexican,9.63
167,Dining Cash,2018-01-16,12:06:00,Wiseguy Pizza,4.39
168,Dining Cash,2018-01-15,21:19:00,TGI Fridays #1757 GW,7.81
169,Dining Cash,2018-01-15,17:00:00,Whole Foods,21.85
170,Dining Cash,2018-01-14,21:45:00,Guthridge Hall Dryer B2,1.75
171,Dining Cash,2018-01-14,21:13:00,Guthridge Hall Washer A2,1.75
172,Dining Cash,2018-01-06,14:39:00,PatronImport Location,1350.0
173,Dining Cash,2017-12-17,13:34:00,Guthridge Hall Dryer B2,1.75
174,Dining Cash,2017-12-17,13:33:00,Guthridge Hall Dryer B1,1.75
175,Dining Cash,2017-12-17,12:31:00,GET Location 365,10.0
176,Dining Cash,2017-12-17,12:30:00,Guthridge Hall Washer A3,1.75
177,Dining Cash,2017-12-17,12:28:00,Guthridge Hall Washer A2,1.75
178,Dining Cash,2017-12-11,11:00:00,Guthridge Hall Dryer B4,1.75
179,Dining Cash,2017-12-11,10:26:00,Guthridge Hall Washer A2,1.75
180,Dining Cash,2017-12-09,12:05:00,Chick-fil-A DH,8.46
181,Dining Cash,2017-12-08,18:15:00,Whole Foods,6.48
182,Dining Cash,2017-12-08,13:35:00,Wiseguy Pizza,4.39
183,Dining Cash,2017-12-07,12:55:00,Sol Mexican,9.63
184,Dining Cash,2017-12-06,21:16:00,Gallery Market,2.79
185,Dining Cash,2017-12-06,17:26:00,Chick-fil-A DH,4.72
186,Dining Cash,2017-12-06,15:09:00,PeetsCoffee DH,2.37
187,Dining Cash,2017-12-06,12:34:00,Whole Foods,9.9
188,Dining Cash,2017-12-05,19:22:00,Gallery Market,3.99
189,Dining Cash,2017-12-05,17:20:00,Whole Foods,1.05
190,Dining Cash,2017-12-05,17:11:00,Whole Foods,4.17
191,Dining Cash,2017-12-05,12:06:00,Wiseguy Pizza,7.68
192,Dining Cash,2017-12-04,15:36:00,PeetsCoffee DH,2.37
193,Dining Cash,2017-12-04,12:33:00,Sodexo GW Hospital,6.14
194,Dining Cash,2017-12-03,15:46:00,Sol Mexican,9.63
195,Dining Cash,2017-12-02,15:27:00,Guthridge Hall Dryer B4,1.75
196,Dining Cash,2017-12-02,14:52:00,Guthridge Hall Washer A2,1.75
197,Dining Cash,2017-12-02,12:43:00,Chick-fil-A DH,9.05
198,Dining Cash,2017-11-30,18:28:00,Chipotle 2000 Pen,8.0
199,Dining Cash,2017-11-30,13:02:00,Au Bon Pain GW,8.23
